symbol,name
ARIHANTCAP.NS,Arihant Capital Markets Limited
ARIHANTSUP.NS,Arihant Superstructures Limited
ARIS.NS,Arisinfra Solutions Limited
ARKADE.NS,Arkade Developers Limited
ARMANFIN.NS,Arman Financial Services Limited
AROGRANITE.NS,Aro Granite Industries Limited
ARROWGREEN.NS,Arrow Greentech Limited
ARSHIYA.NS,Arshiya Limited
ARSSBL.NS,Anand Rathi Share and Stock Brokers Limited
ARTEMISMED.NS,Artemis Medicare Services Limited
ARTNIRMAN.NS,Art Nirman Limited
ARVEE.NS,Arvee Laboratories (India) Limited
ARVIND.NS,Arvind Limited
ARVINDFASN.NS,Arvind Fashions Limited
ARVSMART.NS,Arvind SmartSpaces Limited
ASAHIINDIA.NS,Asahi India Glass Limited
ASAHISONG.NS,Asahi Songwon Colors Limited
ASAL.NS,Automotive Stampings and Assemblies Limited
ASALCBR.NS,Associated Alcohols & Breweries Ltd.
ASHAPURMIN.NS,Ashapura Minechem Limited
ASHIANA.NS,Ashiana Housing Limited
ASHIMASYN.NS,Ashima Limited
ASHOKA.NS,Ashoka Buildcon Limited
ASHOKAMET.NS,Ashoka Metcast Limited
ASHOKLEY.NS,Ashok Leyland Limited
ASIANENE.NS,Asian Energy Services Limited
ASIANHOTNR.NS,Asian Hotels (North) Limited
ASIANPAINT.NS,Asian Paints Limited
ASIANTILES.NS,Asian Granito India Limited
ASKAUTOLTD.NS,ASK Automotive Limited
ASMS.NS,Bartronics India Limited
ASPINWALL.NS,Aspinwall and Company Limited
ASTEC.NS,Astec LifeSciences Limited
ASTERDM.NS,Aster DM Healthcare Limited
ASTRAL.NS,Astral Limited
ASTRAMICRO.NS,Astra Microwave Products Limited
ASTRAZEN.NS,AstraZeneca Pharma India Limited
ASTRON.NS,Astron Paper & Board Mill Limited
ATALREAL.NS,Atal Realtech Limited
ATAM.NS,Atam Valves Limited
ATGL.NS,Adani Total Gas Limited
ATHERENERG.NS,Ather Energy Limited
ATL.NS,Allcargo Terminals Limited
ATLANTAA.NS,ATLANTAA LIMITED
ATLANTAELE.NS,Atlanta Electricals Limited
ATLASCYCLE.NS,Atlas Cycles (Haryana) Limited
ATUL.NS,Atul Limited
ATULAUTO.NS,Atul Auto Limited
AUBANK.NS,AU Small Finance Bank Limited
AURIGROW.NS,Auri Grow India Limited
AURIONPRO.NS,Aurionpro Solutions Limited
AUROPHARMA.NS,Aurobindo Pharma Limited
AURUM.NS,Aurum PropTech Limited
AUSOMENT.NS,Ausom Enterprise Limited
AUTOAXLES.NS,Automotive Axles Limited
AUTOBEES.NS,[ETF] Nippon India Mutual Fund - Nippon India Nifty Auto ETF
AUTOIETF.NS,[ETF] ICICI Prudential Mutual Fund - ICICI Prudential  Nifty Auto ETF
AUTOIND.NS,Autoline Industries Limited
AVADHSUGAR.NS,Avadh Sugar & Energy Limited
AVALON.NS,Avalon Technologies Limited
AVANTEL.NS,Avantel Limited
AVANTIFEED.NS,Avanti Feeds Limited
AVG.NS,AVG Logistics Limited
AVL.NS,Aditya Vision Limited
AVONMORE.NS,Avonmore Capital & Management Services Limited
AVROIND.NS,AVRO INDIA LIMITED
AVTNPL.NS,AVT Natural Products Limited
AWFIS.NS,Awfis Space Solutions Limited
AWHCL.NS,Antony Waste Handling Cell Limited
AWL.NS,AWL Agri Business Limited
AXISBANK.NS,Axis Bank Limited
AXISBNKETF.NS,[ETF] AXIS MUTUAL FUND - Axis NIFTY Bank ETF
AXISBPSETF.NS,[ETF] AXIS MUTUAL FUND - Axis Nifty AAA Bond Plus SDL Apr 2026 50-50 ETF
AXISCADES.NS,AXISCADES Technologies Limited
AXISCETF.NS,[ETF] AXIS MUTUAL FUND - Axis NIFTY India Consumption ETF
AXISGOLD.NS,[ETF] Axis Mutual Fund - Axis Gold ETF
AXISHCETF.NS,[ETF] AXIS MUTUAL FUND - Axis NIFTY Healthcare ETF
AXISILVER.NS,[ETF] Axis Mutual Fund - Axis Silver ETF
AXISNIFTY.NS,[ETF] AXIS MUTUAL FUND - Axis NIFTY 50 ETF
AXISTECETF.NS,[ETF] AXIS MUTUAL FUND - AXIS NIFTY IT ETF
AXISVALUE.NS,[ETF] Axis Mutual Fund - Axis Nifty500 Value 50 ETF
AXITA.NS,Axita Cotton Limited
AXSENSEX.NS,[ETF] Axis Mutual Fund - AXIS S&P BSE SENSEX ETF
AYMSYNTEX.NS,AYM Syntex Limited
AZAD.NS,Azad Engineering Limited
BAFNAPH.NS,Bafna Pharmaceuticals Limited
BAGFILMS.NS,B.A.G Films and Media Limited
BAIDFIN.NS,Baid Finserv Limited
BAJAJ-AUTO.NS,Bajaj Auto Limited
BAJAJCON.NS,Bajaj Consumer Care Limited
BAJAJELEC.NS,Bajaj Electricals Limited
BAJAJFINSV.NS,Bajaj Finserv Limited
BAJAJHCARE.NS,Bajaj Healthcare Limited
BAJAJHFL.NS,Bajaj Housing Finance Limited
BAJAJHIND.NS,Bajaj Hindusthan Sugar Limited
BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited
BAJAJINDEF.NS,Indef Manufacturing Limited
BAJEL.NS,Bajel Projects Limited
BAJFINANCE.NS,Bajaj Finance Limited
BALAJEE.NS,Shree Tirupati Balajee Agro Trading Company Limited
BALAJITELE.NS,Balaji Telefilms Limited
BALAMINES.NS,Balaji Amines Limited
BALAXI.NS,BALAXI PHARMACEUTICALS LIMITED
BALKRISHNA.NS,Balkrishna Paper Mills Limited
BALKRISIND.NS,Balkrishna Industries Limited
BALMLAWRIE.NS,Balmer Lawrie & Company Limited
BALPHARMA.NS,Bal Pharma Limited
BALRAMCHIN.NS,Balrampur Chini Mills Limited
BALUFORGE.NS,Balu Forge Industries Limited
BANARBEADS.NS,Banaras Beads Limited
BANARISUG.NS,Bannari Amman Sugars Limited
BANCOINDIA.NS,Banco Products (I) Limited
BANDHANBNK.NS,Bandhan Bank Limited
BANG.NS,Bang Overseas Limited
BANKA.NS,Banka BioLoo Limited
BANKADD.NS,[ETF] DSP  Mutual Fund - DSP Nifty Bank ETF
BANKBARODA.NS,Bank of Baroda
BANKBEES.NS,[ETF] Nippon India ETF Nifty Bank BeES
BANKBETA.NS,[ETF] UTI Nifty Bank ETF
BANKBETF.NS,[ETF] Bajaj Finserv Mutual Fund - Bajaj Finserv Nifty Bank ETF
BANKETF.NS,[ETF] Mirae Asset Mutual Fund - Mirae Asset Nifty Bank ETF
BANKIETF.NS,[ETF] ICICI Prudential Nifty Bank ETF - NIFTY BANK INDEX
BANKINDIA.NS,Bank of India
BANKNIFTY1.NS,[ETF] Kotak Nifty Bank ETF
BANKPSU.NS,[ETF] Mirae Asset Mutual Fund - Mirae Asset Nifty PSU Bank ETF
BANSALWIRE.NS,Bansal Wire Industries Limited
BANSWRAS.NS,Banswara Syntex Limited
BASF.NS,BASF India Limited
BASML.NS,Bannari Amman Spinning Mills Limited
BATAINDIA.NS,Bata India Limited
BAYERCROP.NS,Bayer Cropscience Limited
BBETF0432.NS,[ETF] Edelweiss Mutual Fund - BHARAT Bond ETF - April 2032 - Growth
BBL.NS,Bharat Bijlee Limited
BBNPNBETF.NS,"[ETF] Baroda BNP Paribas Mutual Fund - Baroda BNP Paribas Nifty Bank ETF"
BBNPPGOLD.NS,[ETF] Baroda BNP Paribas Mutual Fund - Baroda BNP Paribas Gold ETF
BBOX.NS,Black Box Limited
BBTC.NS,The Bombay Burmah Trading Corporation Limited
BBTCL.NS,B&B Triplewall Containers Limited
BCG.NS,Brightcom Group Limited
BCLIND.NS,Bcl Industries Limited
BCONCEPTS.NS,Brand Concepts Limited
BDL.NS,Bharat Dynamics Limited
BEARDSELL.NS,Beardsell Limited
BECTORFOOD.NS,Mrs. Bectors Food Specialities Limited
BEDMUTHA.NS,Bedmutha Industries Limited
BEL.NS,Bharat Electronics Limited
BELLACASA.NS,Bella Casa Fashion & Retail Limited
BELRISE.NS,Belrise Industries Limited
BEML.NS,BEML Limited
BEPL.NS,Bhansali Engineering Polymers Limited
BERGEPAINT.NS,Berger Paints (I) Limited
BESTAGRO.NS,Best Agrolife Limited
BETA.NS,Beta Drugs Limited
BFINVEST.NS,BF Investment Limited
BFSI.NS,[ETF] Mirae Asset Mutual Fund - Mirae Asset Nifty Financial Services ETF
BFUTILITIE.NS,BF Utilities Limited
BGRENERGY.NS,BGR Energy Systems Limited
BHAGCHEM.NS,Bhagiradha Chemicals & Industries Limited
BHAGERIA.NS,Bhageria Industries Limited
BHAGYANGR.NS,Bhagyanagar India Limited
BHANDARI.NS,Bhandari Hosiery Exports Limited
BHARATCOAL.NS,Bharat Coking Coal Limited
BHARATFORG.NS,Bharat Forge Limited
BHARATGEAR.NS,Bharat Gears Limited
BHARATRAS.NS,Bharat Rasayan Limited
BHARATSE.NS,Bharat Seats Limited
BHARATWIRE.NS,Bharat Wire Ropes Limited
BHARTIARTL.NS,Bharti Airtel Limited
BHARTIHEXA.NS,Bharti Hexacom Limited
BHEL.NS,Bharat Heavy Electricals Limited
BIGBLOC.NS,Bigbloc Construction Limited
BIKAJI.NS,Bikaji Foods International Limited
BIL.NS,Bhartiya International Limited
BILVYAPAR.NS,BIL VYAPAR LIMITED
BIOCON.NS,Biocon Limited
BIOFILCHEM.NS,Biofil Chemicals & Pharmaceuticals Limited
BIRLACABLE.NS,Birla Cable Limited
BIRLACORPN.NS,Birla Corporation Limited
BIRLAMONEY.NS,Aditya Birla Money Limited
BIRLANU.NS,BirlaNu Limited
BLACKBUCK.NS,BLACKBUCK LIMITED
BLAL.NS,BEML Land Assets Limited
BLBLIMITED.NS,BLB Limited
BLISSGVS.NS,Bliss GVS Pharma Limited
BLKASHYAP.NS,B. L. Kashyap and Sons Limited
BLS.NS,BLS International Services Limited
BLSE.NS,BLS E-Services Limited
BLUECHIP.NS,Blue Chip India Limited
BLUECOAST.NS,Blue Coast Hotels Limited
BLUEDART.NS,Blue Dart Express Limited
BLUEJET.NS,Blue Jet Healthcare Limited
BLUESTARCO.NS,Blue Star Limited
BLUESTONE.NS,BlueStone Jewellery and Lifestyle Limited
BLUSPRING.NS,Bluspring Enterprises Limited
BMWVENTLTD.NS,BMW Ventures Limited
BODALCHEM.NS,Bodal Chemicals Limited
BOHRAIND.NS,Bohra Industries Limited
BOMDYEING.NS,Bombay Dyeing & Mfg Company Limited
BORANA.NS,Borana Weaves Limited
BOROLTD.NS,Borosil Limited
BORORENEW.NS,BOROSIL RENEWABLES LIMITED
BOROSCI.NS,Borosil Scientific Limited
BOSCH-HCIL.NS,BOSCH HOME COMFORT INDIA LIMITED
BOSCHLTD.NS,Bosch Limited
BPCL.NS,Bharat Petroleum Corporation Limited
BPL.NS,BPL Limited
BRIGADE.NS,Brigade Enterprises Limited
BRIGHOTEL.NS,Brigade Hotel Ventures Limited
BRITANNIA.NS,Britannia Industries Limited
BRNL.NS,Bharat Road Network Limited
BROOKS.NS,Brooks Laboratories Limited
BSE.NS,BSE Limited
BSE500IETF.NS,[ETF] ICICI Prudential BSE 500 ETF
BSHSL.NS,Bombay Super Hybrid Seeds Limited
BSL.NS,BSL Limited
BSLGOLDETF.NS,[ETF] Aditya Birla Sun Life Gold ETF - Growth
BSLNIFTY.NS,[ETF] Aditya Birla Sun Life Nifty 50 ETF
BSLSENETFG.NS,[ETF] Aditya Birla Sun Life BSE Sensex ETF
BSOFT.NS,BIRLASOFT LIMITED
BTML.NS,Bodhi Tree Multimedia Limited
BUILDPRO.NS,Shankara Buildpro Limited
BUTTERFLY.NS,Butterfly Gandhimathi Appliances Limited
BVCL.NS,Barak Valley Cements Limited
BYKE.NS,The Byke Hospitality Ltd
CALSOFT.NS,California Software Company Limited
CAMLINFINE.NS,Camlin Fine Sciences Limited
CAMPUS.NS,Campus Activewear Limited
CAMS.NS,Computer Age Management Services Limited
CANBK.NS,Canara Bank
CANFINHOME.NS,Can Fin Homes Limited
CANHLIFE.NS,Canara HSBC Life Insurance Company Limited
CANTABIL.NS,Cantabil Retail India Limited
CAPACITE.NS,Capacit'e Infraprojects Limited
CAPILLARY.NS,Capillary Technologies India Limited
CAPITALSFB.NS,Capital Small Finance Bank Limited
CAPLIPOINT.NS,Caplin Point Laboratories Limited
CAPTRUST.NS,Capital Trust Limited
CARBORUNIV.NS,Carborundum Universal Limited
CARERATING.NS,CARE Ratings Limited
CARRARO.NS,Carraro India Limited
CARTRADE.NS,Cartrade Tech Limited
CARYSIL.NS,CARYSIL LIMITED
CASHIETF.NS,[ETF] ICICI Prudential MF-ICICI Prudential BSE Liquid Rate ETF-Growth
CASTROLIND.NS,Castrol India Limited
CCAVENUE.NS,AvenuesAI Limited
CCCL.NS,Consolidated Construction Consortium Limited
CCHHL.NS,Country Club Hospitality & Holidays Limited
CCL.NS,CCL Products (India) Limited
CDSL.NS,Central Depository Services (India) Limited
CEATLTD.NS,CEAT Limited
CEIGALL.NS,Ceigall India Limited
CELEBRITY.NS,Celebrity Fashions Limited
CELLO.NS,Cello World Limited
CEMPRO.NS,Cemindia Projects Limited
CENTENKA.NS,Century Enka Limited
CENTEXT.NS,Century Extrusions Limited
CENTRALBK.NS,Central Bank of India
CENTRUM.NS,Centrum Capital Limited
CENTUM.NS,Centum Electronics Limited
CENTURYPLY.NS,Century Plyboards (India) Limited
CERA.NS,Cera Sanitaryware Limited
CEREBRAINT.NS,Cerebra Integrated Technologies Limited
CESC.NS,CESC Limited
CEWATER.NS,Concord Enviro Systems Limited
CGCL.NS,Capri Global Capital Limited
CGPOWER.NS,CG Power and Industrial Solutions Limited
CHALET.NS,Chalet Hotels Limited
CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Limited
CHEMBOND.NS,Chembond Material Technologies Limited
CHEMBONDCH.NS,Chembond Chemicals Limited
CHEMCON.NS,Chemcon Speciality Chemicals Limited
CHEMFAB.NS,Chemfab Alkalis Limited
CHEMICAL.NS,[ETF] Kotak Mahindra Mutual Fund - Kotak Nifty Chemicals ETF
CHEMPLASTS.NS,Chemplast Sanmar Limited
CHENNPETRO.NS,Chennai Petroleum Corporation Limited
CHEVIOT.NS,Cheviot Company Limited
CHOICEGOLD.NS,[ETF] Choice Mutual Fund - Choice Gold ETF
CHOICEIN.NS,Choice International Limited
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited
CHOLAHLDNG.NS,Cholamandalam Financial Holdings Limited
CIEINDIA.NS,CIE Automotive India Limited
CIFL.NS,Capital India Finance Limited
CIGNITITEC.NS,Cigniti Technologies Limited
CINELINE.NS,Cineline India Limited
CINEVISTA.NS,Cinevista Limited
CIPLA.NS,Cipla Limited
CLEAN.NS,Clean Science and Technology Limited
CLEDUCATE.NS,CL Educate Limited
CLSEL.NS,Chaman Lal Setia Exports Limited
CMSINFO.NS,CMS Info Systems Limited
CNL.NS,Creative Newtech Limited
COALINDIA.NS,Coal India Limited
COASTCORP.NS,Coastal Corporation Limited
COCHINSHIP.NS,Cochin Shipyard Limited
COFFEEDAY.NS,Coffee Day Enterprises Limited
COFORGE.NS,Coforge Limited
COHANCE.NS,Cohance Lifesciences Limited
COLPAL.NS,Colgate Palmolive (India) Limited
COMMOIETF.NS,[ETF] ICICI Prudential Mutual Fund - ICICI Prudential Nifty Commodities ETF
COMPINFO.NS,Compuage Infocom Limited
COMPUSOFT.NS,Compucom Software Limited
COMSYN.NS,Commercial Syn Bags Limited
CONCOR.NS,Container Corporation of India Limited
CONCORDBIO.NS,Concord Biotech Limited
CONFIPET.NS,Confidence Petroleum India Limited
CONS.NS,[ETF] Kotak Nifty India Consumption ETF
CONSOFINVT.NS,Consolidated Finvest & Holdings Limited
CONSUMBEES.NS,[ETF] Nippon India ETF Nifty India Consumption
CONSUMER.NS,[ETF] Mirae Asset MF- Mirae Asset Nifty India New Age Consumption ETF
CONSUMIETF.NS,[ETF] ICICI Prudential Nifty India Consumption ETF
CONTROLPR.NS,Control Print Limited
CORALFINAC.NS,Coral India Finance & Housing Limited
CORDSCABLE.NS,Cords Cable Industries Limited
COROMANDEL.NS,Coromandel International Limited
CORONA.NS,CORONA Remedies Limited
COSMOFIRST.NS,COSMO FIRST LIMITED
COUNCODOS.NS,Country Condo's Limited
CPCAP.NS,CP Capital Limited
CPEDU.NS,Career Point Edutech Limited
CPPLUS.NS,Aditya Infotech Limited
CPSEETF.NS,[ETF] CPSE ETF
CRAFTSMAN.NS,Craftsman Automation Limited
CRAMC.NS,Canara Robeco Asset Management Company Limited
CREATIVEYE.NS,Creative Eye Limited
CREDITACC.NS,CREDITACCESS GRAMEEN LIMITED
CREST.NS,Crest Ventures Limited
CRISIL.NS,CRISIL Limited
CRIZAC.NS,Crizac Limited
CROMPTON.NS,Crompton Greaves Consumer Electricals Limited
CROWN.NS,Crown Lifters Limited
CSBBANK.NS,CSB Bank Limited
CSLFINANCE.NS,CSL Finance Limited
CTE.NS,Cambridge Technology Enterprises Limited
CUB.NS,City Union Bank Limited
CUBEXTUB.NS,Cubex Tubings Limited
CUMMINSIND.NS,Cummins India Limited
CUPID.NS,Cupid Limited
CURAA.NS,Cura Technologies Limited
CYBERMEDIA.NS,Cyber Media (India) Limited
CYBERTECH.NS,Cybertech Systems And Software Limited
CYIENT.NS,Cyient Limited
CYIENTDLM.NS,Cyient DLM Limited
DABUR.NS,Dabur India Limited
DALBHARAT.NS,Dalmia Bharat Limited
DALMIASUG.NS,Dalmia Bharat Sugar and Industries Limited
DAMCAPITAL.NS,Dam Capital Advisors Limited
DAMODARIND.NS,Damodar Industries Limited
DANGEE.NS,Dangee Dums Limited
DATAMATICS.NS,Datamatics Global Services Limited
DATAPATTNS.NS,Data Patterns (India) Limited
DAVANGERE.NS,Davangere Sugar Company Limited
DBCORP.NS,D.B.Corp Limited
DBEIL.NS,Deepak Builders & Engineers India Limited
DBL.NS,Dilip Buildcon Limited
DBOL.NS,Dhampur Bio Organics Limited
DBREALTY.NS,Valor Estate Limited
DBSTOCKBRO.NS,DB (International) Stock Brokers Limited
DCAL.NS,Dishman Carbogen Amcis Limited
DCBBANK.NS,DCB Bank Limited
DCI.NS,Dc Infotech And Communication Limited
DCM.NS,DCM  Limited
DCMFINSERV.NS,DCM Financial Services Limited
DCMNVL.NS,DCM Nouvelle Limited
DCMSHRIRAM.NS,DCM Shriram Limited
DCMSRIND.NS,DCM Shriram Industries Limited
DCW.NS,DCW Limited
DCXINDIA.NS,DCX Systems Limited
DDEVPLSTIK.NS,Ddev Plastiks Industries Limited
DECCANCE.NS,Deccan Cements Limited
DEEDEV.NS,DEE Development Engineers Limited
DEEPAKFERT.NS,Deepak Fertilizers and Petrochemicals Corporation Limited
DEEPAKNTR.NS,Deepak Nitrite Limited
DEEPINDS.NS,Deep Industries Limited
DELHIVERY.NS,Delhivery Limited
DELPHIFX.NS,DELPHI WORLD MONEY LIMITED
DELTACORP.NS,Delta Corp Limited
DELTAMAGNT.NS,Delta Manufacturing Limited
DEN.NS,Den Networks Limited
DENORA.NS,De Nora India Limited
DENTA.NS,Denta Water and Infra Solutions Limited
DEVIT.NS,Dev Information Technology Limited
DEVX.NS,Dev Accelerator Limited
DEVYANI.NS,Devyani International Limited
DGCONTENT.NS,Digicontent Limited
DHAMPURSUG.NS,Dhampur Sugar Mills Limited
DHANBANK.NS,Dhanlaxmi Bank Limited
DHANUKA.NS,Dhanuka Agritech Limited
DHARAN.NS,DHARAN INFRA-EPC LIMITED
DHARMAJ.NS,Dharmaj Crop Guard Limited
